피처,타겟,CramersV,p_value,유의성,데이터
대업종,발생형태,0.2513,0.0,***,전체
대업종,재해정도,0.1703,0.0,***,전체
년도,발생형태,0.0522,0.0,***,전체
년도,재해정도,0.032,0.0,***,전체
규모,발생형태,0.1168,0.0,***,전체
규모,재해정도,0.0587,0.0,***,전체
성별,발생형태,0.3463,0.0,***,전체
성별,재해정도,0.1393,0.0,***,전체
연령,발생형태,0.1215,0.0,***,전체
연령,재해정도,0.115,0.0,***,전체
근무기간,발생형태,0.15,0.0,***,전체
근무기간,재해정도,0.1087,0.0,***,전체
지역,발생형태,0.0708,0.0,***,전체
지역,재해정도,0.0969,0.0,***,전체
대업종,질병종류,0.2418,0.0,***,(업무상질병)
대업종,세부질병종류,0.2501,0.0,***,(업무상질병)
년도,질병종류,0.0785,0.0,***,(업무상질병)
년도,세부질병종류,0.102,0.0,***,(업무상질병)
규모,질병종류,0.0937,0.0,***,(업무상질병)
규모,세부질병종류,0.1032,0.0,***,(업무상질병)
성별,질병종류,0.2706,0.0,***,(업무상질병)
성별,세부질병종류,0.3303,0.0,***,(업무상질병)
연령,질병종류,0.1866,0.0,***,(업무상질병)
연령,세부질병종류,0.1981,0.0,***,(업무상질병)
근무기간,질병종류,0.1617,0.0,***,(업무상질병)
근무기간,세부질병종류,0.1715,0.0,***,(업무상질병)
지역,질병종류,0.1717,0.0,***,(업무상질병)
지역,세부질병종류,0.1352,0.0,***,(업무상질병)
건설공사금액,발생형태,0.1072,0.0,***,(건설업)
건설공사금액,재해정도,0.0356,0.0,***,(건설업)
건설공사금액,질병종류,0.038,2.1889804159678998e-57,***,(건설업+질병)
건설공사금액,세부질병종류,0.0579,3.9623010623691004e-109,***,(건설업+질병)
